idUcapanMotivasi,Kelolosan,Ucapan
1,1,"Kesuksesanmu bukanlah kebetulan, tetapi hasil dari kerja keras dan tekad yang kuat. Teruslah berkembang dan berkontribusi."
2,0,Jangan biarkan satu kegagalan menghancurkan impianmu. Teruslah berusaha dan teruslah percaya pada dirimu sendiri.
3,1,"Tantangan baru menanti, dan kamu siap untuk menghadapinya. Bersiaplah untuk menginspirasi dan memotivasi orang lain di sepanjang perjalananmu."
4,1,Jangan pernah ragu akan potensimu. Kamu telah membuktikan bahwa kamu bisa mencapai apa pun yang kamu inginkan.
5,0,Kegagalan adalah bagian alami dari perjalanan menuju kesuksesan. Teruslah bertekad dan terus berjuang.
6,0,"Meskipun saat ini mungkin terasa sulit, tetapi ini akan membuatmu lebih kuat. Teruslah berjuang dan teruslah percaya."
7,0,Tetaplah positif dan fokus pada tujuanmu. Kegagalan hari ini tidak akan menentukan masa depanmu jika kamu terus berusaha.
8,0,"Keputusan ini bukanlah akhir dari perjalananmu, tetapi bagian dari proses menuju kesuksesan. Tetaplah berjuang."
9,1,Berada di BEM adalah kepercayaan yang besar. Jadilah teladan bagi yang lain dengan karya dan dedikasimu.
10,0,Kamu telah menunjukkan keberanian dengan mencoba. Teruslah berani dan teruslah mencari kesempatan untuk tumbuh.
11,1,Jangan pernah berhenti bermimpi dan berjuang. Kamu memiliki potensi untuk meraih lebih banyak lagi.
12,1,Jangan pernah ragu akan kemampuanmu. Kamu telah membuktikan bahwa kamu layak mendapatkan tempatmu di BEM.
13,1,Selamat atas pencapaianmu yang luar biasa. Teruslah berkontribusi dan berkembang sebagai pemimpin yang tangguh dan berintegritas.
14,1,Selamat atas pencapaianmu yang luar biasa! Ini adalah awal dari petualangan baru yang penuh dengan peluang dan tantangan.
15,0,Jangan biarkan satu kegagalan menghancurkan semangatmu. Gunakan ini sebagai motivasi untuk bangkit lebih kuat.
16,0,Jangan biarkan kegagalan menghentikan impianmu. Teruslah berjuang dan teruslah percaya pada dirimu sendiri.
17,0,Setiap kegagalan adalah peluang untuk memperbaiki dan memperkuat dirimu. Gunakan ini sebagai pemicu untuk menjadi lebih baik.
18,1,"Keberhasilanmu bukanlah akhir dari perjalanan, tetapi awal dari petualangan yang lebih besar. Bersiaplah untuk mengukir jejak yang luar biasa."
19,0,Setiap langkah mundur adalah kesempatan untuk melompat lebih tinggi. Tetaplah semangat dan terus bergerak maju.
20,0,Ingatlah bahwa setiap kegagalan adalah kesempatan untuk tumbuh dan berkembang. Tetaplah berjuang dan teruslah maju.
21,0,Jangan biarkan kegagalan menghalangi ambisimu. Teruslah bermimpi dan teruslah mengejar apa yang kamu inginkan.
22,1,Kegigihan dan dedikasimu telah membuahkan hasil. Tetaplah semangat dalam perjalananmu sebagai bagian dari BEM.
23,1,"Dengan lolos BEM, kamu telah menjadi bagian dari pemimpin masa depan. Jadilah inspirasi bagi yang lain dengan dedikasi dan integritasmu."
24,1,Jangan pernah takut untuk mengambil tantangan baru. Kamu telah membuktikan bahwa kamu mampu menghadapinya.
25,1,Setiap langkahmu adalah tonggak sejarah dalam perjalananmu. Lanjutkan dengan keberanian dan tekad yang sama.
